Id,StageName,Amount,Product,Competitor,Account,Vertical
1882,Engage,"$30,836.00","Learning, Regulation Management",CareEd,East Haven Home Health Center 0882,HH
1883,Identify,"$14,194.00","Learning, Regulation Management, Compliance, XM",MedTeach,Lake Heights SNF Center 0883,SNF
1884,Closed Won,"$66,000.00",XM,CareEd,River Haven Home Health Center 0884,HH
1885,Engage,"$9,601.00","Learning, XM",MedTeach,Grand Creek Home Care Center 0885,HC
1886,Prove,"$45,331.00",Learning,CareEd,Oak Grove Home Health Center 0886,HH
1887,Negotiate,"$42,733.00","Learning, Regulation Management, Compliance, XM",CareEd,Grand Springs Home Health Center 0887,HH
1888,Engage,"$33,573.00","Compliance, XM",MedTeach,Oak Haven SNF Center 0888,SNF
1889,Engage,"$4,593.00","Learning, Policy Management",SNFCourse,North Point Home Care Center 0889,HC
1890,Identify,"$42,569.00","Learning, Regulation Management, Compliance, XM",MedTeach,New Harbor SNF Center 0890,SNF
1891,Engage,"$11,150.00","Compliance, XM",CareEd,Grand Creek Home Health Center 0891,HH
1892,Engage,"$12,561.00","Compliance, XM",CareEd,Grand View Assisted Living Center 0892,AL
1893,Negotiate,"$72,580.00",XM,CareEd,West Creek SNF Center 0893,SNF
1894,Identify,"$36,595.00","Learning, Assessments",InsightsAct,Oak Springs Home Health Center 0894,HH
1895,Identify,"$83,693.00","Learning, XM",SNFCourse,East Springs SNF Center 0895,SNF
1896,Closed Lost,"$34,735.00",XM,SNFCourse,River Springs Home Care Center 0896,HC
1897,Engage,"$77,907.00","Learning, Assessments",InsightsAct,North Haven Assisted Living Center 0897,AL
1898,Engage,"$54,311.00",Learning,InsightsAct,South Springs SNF Center 0898,SNF
1899,Identify,"$4,695.00",Learning,SNFCourse,West Valley Home Care Center 0899,HC
1900,Engage,"$30,148.00","Learning, XM",MedTeach,Lake View Home Care Center 0900,HC
1901,Engage,"$7,067.00",Learning,MedTeach,North Heights Home Health Center 0901,HH
1902,Negotiate,"$56,349.00","Learning, Policy Management",InsightsAct,New View Assisted Living Center 0902,AL
1903,Identify,"$53,044.00",Policy Management,CareEd,West Springs Home Care Center 0903,HC
1904,Prove,"$71,727.00",XM,MedTeach,Grand Point SNF Center 0904,SNF
1905,Prove,"$3,341.00",XM,InsightsAct,River Valley SNF Center 0905,SNF
1906,Identify,"$33,082.00",Learning,MedTeach,Grand Springs Assisted Living Center 0906,AL
1907,Closed Won,"$55,819.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Oak Valley SNF Center 0907,SNF
1908,Closed Won,"$65,456.00","Learning, Policy Management",MedTeach,Lake Ridge Home Health Center 0908,HH
1909,Engage,"$32,219.00","Learning, Policy Management",CareEd,Lake Ridge Assisted Living Center 0909,AL
1910,Identify,"$24,259.00","Compliance, XM",MedTeach,West Ridge SNF Center 0910,SNF
1911,Closed Won,"$58,572.00","Compliance, XM",SNFCourse,East Heights Home Care Center 0911,HC
1912,Identify,"$70,414.00","Learning, Regulation Management, Compliance, XM",SNFCourse,South Harbor Assisted Living Center 0912,AL
1913,Closed Won,"$15,165.00","Learning, Assessments",InsightsAct,Lake Haven SNF Center 0913,SNF
1914,Prove,"$68,669.00","Learning, Regulation Management",CareEd,West Heights Assisted Living Center 0914,AL
1915,Engage,"$39,636.00",Policy Management,SNFCourse,West Ridge Home Health Center 0915,HH
1916,Prove,"$31,422.00","Compliance, XM",SNFCourse,North Point Assisted Living Center 0916,AL
1917,Identify,"$41,566.00","Learning, XM",MedTeach,River Grove Home Health Center 0917,HH
1918,Negotiate,"$82,550.00","Learning, Regulation Management",MedTeach,River Springs Home Health Center 0918,HH
1919,Closed Won,"$78,535.00","Learning, XM",SNFCourse,Oak Haven Assisted Living Center 0919,AL
1920,Prove,"$31,367.00","Compliance, XM",CareEd,Lake Point Home Health Center 0920,HH
1921,Prove,"$74,736.00","Learning, Policy Management",MedTeach,North Harbor Home Care Center 0921,HC
1922,Closed Won,"$52,290.00",Policy Management,CareEd,South Creek Assisted Living Center 0922,AL
1923,Identify,"$61,175.00","Learning, Assessments",MedTeach,East Harbor Home Care Center 0923,HC
1924,Identify,"$62,700.00","Learning, Policy Management",SNFCourse,South Valley Home Care Center 0924,HC
1925,Negotiate,"$67,788.00","Learning, Policy Management",CareEd,East Haven SNF Center 0925,SNF
1926,Identify,"$58,195.00","Compliance, XM",SNFCourse,West Valley SNF Center 0926,SNF
1927,Closed Lost,"$52,315.00","Learning, XM",SNFCourse,Oak Harbor Home Care Center 0927,HC
1928,Engage,"$28,286.00",XM,InsightsAct,West Harbor SNF Center 0928,SNF
1929,Closed Won,"$61,412.00","Learning, Assessments",SNFCourse,South Point Assisted Living Center 0929,AL
1930,Prove,"$79,321.00",XM,SNFCourse,North Harbor Home Care Center 0930,HC
1931,Identify,"$61,108.00",Learning,InsightsAct,New Valley SNF Center 0931,SNF
1932,Engage,"$23,158.00",XM,CareEd,West Creek SNF Center 0932,SNF
1933,Closed Won,"$20,650.00","Learning, Regulation Management",InsightsAct,West Harbor Assisted Living Center 0933,AL
1934,Identify,"$27,018.00",Policy Management,InsightsAct,Pine Heights Home Care Center 0934,HC
1935,Engage,"$60,928.00",Learning,InsightsAct,East Haven Home Care Center 0935,HC
1936,Identify,"$65,775.00","Learning, Regulation Management",CareEd,Oak Harbor Home Health Center 0936,HH
1937,Closed Won,"$56,640.00","Learning, XM",MedTeach,Lake Heights Home Health Center 0937,HH
1938,Closed Lost,"$26,946.00",Policy Management,SNFCourse,Pine Grove Home Care Center 0938,HC
1939,Identify,"$45,200.00","Learning, Assessments",InsightsAct,Oak Springs Assisted Living Center 0939,AL
1940,Prove,"$62,693.00",Learning,InsightsAct,North Ridge Home Care Center 0940,HC
1941,Engage,"$54,551.00","Learning, Regulation Management, Compliance, XM",SNFCourse,East Springs SNF Center 0941,SNF
1942,Identify,"$28,390.00",XM,InsightsAct,Lake Ridge Assisted Living Center 0942,AL
1943,Negotiate,"$61,498.00","Learning, XM",MedTeach,North Point Assisted Living Center 0943,AL
1944,Negotiate,"$36,524.00",Policy Management,MedTeach,Lake Harbor Assisted Living Center 0944,AL
1945,Identify,"$25,445.00","Learning, Assessments",CareEd,South Harbor Home Health Center 0945,HH
1946,Negotiate,"$78,222.00","Compliance, XM",SNFCourse,Lake Point Assisted Living Center 0946,AL
1947,Engage,"$81,847.00",Learning,SNFCourse,New Ridge SNF Center 0947,SNF
1948,Closed Won,"$81,222.00",Learning,CareEd,Lake Heights SNF Center 0948,SNF
1949,Identify,"$55,183.00","Compliance, XM",MedTeach,Pine Ridge SNF Center 0949,SNF
1950,Identify,"$52,320.00",Learning,SNFCourse,New Creek Home Care Center 0950,HC
1951,Closed Won,"$62,864.00","Learning, Assessments",MedTeach,Oak Grove Assisted Living Center 0951,AL
1952,Identify,"$38,645.00","Learning, XM",CareEd,Pine Harbor Home Care Center 0952,HC
1953,Closed Won,"$35,198.00","Learning, Regulation Management",MedTeach,New View Assisted Living Center 0953,AL
1954,Identify,"$24,686.00","Learning, Assessments",SNFCourse,River Harbor Home Health Center 0954,HH
1955,Identify,"$57,712.00",Policy Management,CareEd,South View Home Care Center 0955,HC
1956,Closed Won,"$20,928.00","Compliance, XM",MedTeach,River Creek Assisted Living Center 0956,AL
1957,Closed Lost,"$55,501.00",Learning,CareEd,West Creek Home Care Center 0957,HC
1958,Engage,"$38,884.00","Learning, XM",MedTeach,South Springs Assisted Living Center 0958,AL
1959,Closed Lost,"$82,667.00","Compliance, XM",MedTeach,Grand View SNF Center 0959,SNF
1960,Prove,"$14,470.00",Policy Management,SNFCourse,Lake Harbor Assisted Living Center 0960,AL
1961,Engage,"$27,105.00","Compliance, XM",MedTeach,Lake Harbor Home Health Center 0961,HH
1962,Engage,"$67,742.00","Learning, Regulation Management",SNFCourse,North Grove Assisted Living Center 0962,AL
1963,Engage,"$27,121.00",Learning,InsightsAct,South Valley Home Health Center 0963,HH
1964,Identify,"$40,869.00","Learning, Assessments",MedTeach,North Heights Assisted Living Center 0964,AL
1965,Identify,"$29,282.00","Learning, Regulation Management",MedTeach,North Heights Home Care Center 0965,HC
1966,Identify,"$63,043.00","Compliance, XM",InsightsAct,Oak Creek Assisted Living Center 0966,AL
1967,Closed Won,"$71,845.00",XM,MedTeach,East Ridge Home Care Center 0967,HC
1968,Prove,"$2,795.00",Policy Management,InsightsAct,East Ridge SNF Center 0968,SNF
1969,Prove,"$74,056.00","Learning, Regulation Management",SNFCourse,River Ridge Home Health Center 0969,HH
1970,Identify,"$2,197.00","Learning, Policy Management",CareEd,South Ridge Home Health Center 0970,HH
1971,Identify,"$31,433.00",XM,MedTeach,Grand Creek Home Care Center 0971,HC
1972,Identify,"$61,241.00",Learning,InsightsAct,Oak Valley Home Care Center 0972,HC
1973,Engage,"$6,181.00","Learning, Regulation Management, Compliance, XM",CareEd,North Ridge Home Care Center 0973,HC
1974,Prove,"$73,522.00","Learning, Assessments",MedTeach,River View Home Health Center 0974,HH
1975,Engage,"$13,118.00",XM,MedTeach,Lake Springs Home Health Center 0975,HH
1976,Engage,"$7,140.00",XM,InsightsAct,New View Home Health Center 0976,HH
1977,Engage,"$16,536.00",Learning,SNFCourse,East Heights Home Health Center 0977,HH
1978,Closed Won,"$38,451.00",Learning,InsightsAct,Grand Creek Assisted Living Center 0978,AL
1979,Identify,"$17,810.00","Learning, Policy Management",MedTeach,West Harbor Assisted Living Center 0979,AL
1980,Closed Lost,"$82,699.00","Learning, Assessments",CareEd,Lake Point Home Health Center 0980,HH
1981,Prove,"$70,345.00","Learning, Policy Management",MedTeach,Pine Creek Assisted Living Center 0981,AL
1982,Closed Won,"$60,075.00",Learning,MedTeach,East View Home Health Center 0982,HH
1983,Closed Lost,"$8,169.00","Learning, Policy Management",MedTeach,South Creek Assisted Living Center 0983,AL
1984,Negotiate,"$70,759.00","Learning, Regulation Management",InsightsAct,Lake Haven SNF Center 0984,SNF
1985,Identify,"$28,975.00",Policy Management,CareEd,Grand Springs Home Health Center 0985,HH
1986,Engage,"$22,935.00",XM,CareEd,West Valley Home Health Center 0986,HH
1987,Negotiate,"$12,375.00",Policy Management,SNFCourse,Pine Springs SNF Center 0987,SNF
1988,Identify,"$66,755.00","Learning, Policy Management",MedTeach,West Grove Assisted Living Center 0988,AL
1989,Prove,"$72,727.00","Learning, Regulation Management",MedTeach,East Creek SNF Center 0989,SNF
1990,Negotiate,"$59,055.00","Compliance, XM",MedTeach,Grand Point Home Health Center 0990,HH
1991,Identify,"$23,809.00",Learning,SNFCourse,West Ridge Assisted Living Center 0991,AL
1992,Prove,"$14,715.00",Learning,InsightsAct,Grand Grove SNF Center 0992,SNF
1993,Identify,"$59,481.00","Learning, Policy Management",MedTeach,East Point Assisted Living Center 0993,AL
1994,Prove,"$24,575.00","Compliance, XM",CareEd,West View Home Health Center 0994,HH
1995,Identify,"$63,401.00","Compliance, XM",CareEd,Grand Heights SNF Center 0995,SNF
1996,Prove,"$81,408.00",Learning,MedTeach,South Point SNF Center 0996,SNF
1997,Identify,"$62,913.00","Learning, XM",InsightsAct,Oak View Assisted Living Center 0997,AL
1998,Identify,"$5,347.00","Learning, XM",InsightsAct,North Grove Home Care Center 0998,HC
1999,Negotiate,"$60,622.00","Learning, Regulation Management, Compliance, XM",SNFCourse,New Point Home Care Center 0999,HC
2000,Identify,"$48,510.00","Learning, Policy Management",MedTeach,North Creek Home Health Center 1000,HH
2001,Identify,"$66,606.00",XM,MedTeach,Oak Valley Home Care Center 1001,HC
2002,Identify,"$78,124.00","Learning, XM",SNFCourse,Grand Heights Assisted Living Center 1002,AL
2003,Identify,"$68,279.00",Policy Management,InsightsAct,Pine Grove Assisted Living Center 1003,AL
2004,Engage,"$34,275.00","Learning, Regulation Management, Compliance, XM",MedTeach,East Valley Home Health Center 1004,HH
2005,Closed Won,"$74,366.00","Learning, Regulation Management, Compliance, XM",CareEd,South Creek Home Care Center 1005,HC
2006,Identify,"$36,855.00",Learning,MedTeach,Oak View Assisted Living Center 1006,AL
2007,Engage,"$43,123.00","Learning, Policy Management",MedTeach,Pine Haven Assisted Living Center 1007,AL
2008,Engage,"$18,316.00",Learning,SNFCourse,Grand Springs Assisted Living Center 1008,AL
2009,Closed Won,"$27,333.00","Compliance, XM",MedTeach,East Valley Home Care Center 1009,HC
2010,Identify,"$30,862.00",Policy Management,MedTeach,New Ridge SNF Center 1010,SNF
2011,Identify,"$31,175.00","Learning, Regulation Management, Compliance, XM",MedTeach,North Harbor Home Care Center 1011,HC
2012,Identify,"$68,632.00","Learning, Assessments",InsightsAct,River Point Assisted Living Center 1012,AL
2013,Negotiate,"$62,625.00",Policy Management,SNFCourse,Pine Ridge SNF Center 1013,SNF
2014,Prove,"$63,327.00","Compliance, XM",SNFCourse,Oak Grove Home Health Center 1014,HH
2015,Engage,"$71,144.00",XM,SNFCourse,Lake Ridge Assisted Living Center 1015,AL
2016,Closed Lost,"$28,579.00","Learning, Assessments",SNFCourse,South Ridge Home Health Center 1016,HH
2017,Engage,"$31,158.00",Learning,MedTeach,New Harbor Assisted Living Center 1017,AL
2018,Closed Won,"$47,302.00",Learning,CareEd,Pine Heights Assisted Living Center 1018,AL
2019,Identify,"$81,356.00",Learning,SNFCourse,Lake View Home Health Center 1019,HH
2020,Prove,"$78,382.00","Learning, XM",InsightsAct,South Springs Home Care Center 1020,HC
2021,Identify,"$74,138.00","Compliance, XM",MedTeach,Lake Creek SNF Center 1021,SNF
2022,Identify,"$71,981.00","Compliance, XM",InsightsAct,Pine Ridge Assisted Living Center 1022,AL
2023,Identify,"$42,768.00","Learning, Regulation Management, Compliance, XM",MedTeach,Pine Springs SNF Center 1023,SNF
2024,Identify,"$78,271.00",XM,SNFCourse,Oak Harbor Home Health Center 1024,HH
2025,Prove,"$53,239.00","Learning, Assessments",MedTeach,Pine Point Assisted Living Center 1025,AL
2026,Closed Lost,"$37,114.00","Compliance, XM",CareEd,East Harbor Home Care Center 1026,HC
2027,Closed Won,"$15,333.00","Learning, Policy Management",InsightsAct,North Valley Home Health Center 1027,HH
2028,Identify,"$36,105.00",Learning,CareEd,Pine View SNF Center 1028,SNF
2029,Negotiate,"$1,506.00","Compliance, XM",InsightsAct,Oak Grove Home Health Center 1029,HH
2030,Prove,"$22,963.00",Policy Management,InsightsAct,New Valley Assisted Living Center 1030,AL
2031,Closed Won,"$72,257.00","Learning, Assessments",InsightsAct,South Heights Home Health Center 1031,HH
2032,Negotiate,"$3,799.00",XM,InsightsAct,West Heights SNF Center 1032,SNF
2033,Closed Lost,"$10,218.00","Learning, Regulation Management, Compliance, XM",CareEd,North Haven Home Care Center 1033,HC
2034,Identify,"$4,662.00","Learning, Regulation Management, Compliance, XM",CareEd,Lake Point Home Care Center 1034,HC
2035,Identify,"$44,094.00",Policy Management,SNFCourse,New Harbor SNF Center 1035,SNF
2036,Closed Lost,"$43,969.00","Learning, Assessments",InsightsAct,Pine Heights SNF Center 1036,SNF
2037,Identify,"$34,069.00","Learning, XM",CareEd,North Heights Assisted Living Center 1037,AL
2038,Engage,"$23,334.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Pine View Assisted Living Center 1038,AL
2039,Prove,"$12,039.00","Learning, Regulation Management",MedTeach,Lake Ridge SNF Center 1039,SNF
2040,Identify,"$51,145.00","Learning, Regulation Management",MedTeach,West Heights SNF Center 1040,SNF
2041,Prove,"$62,950.00","Learning, XM",SNFCourse,New Haven Assisted Living Center 1041,AL
2042,Prove,"$39,142.00","Learning, Regulation Management",MedTeach,South Point SNF Center 1042,SNF
2043,Identify,"$74,786.00","Learning, Policy Management",SNFCourse,East Grove Home Care Center 1043,HC
2044,Closed Won,"$27,888.00","Learning, Regulation Management",SNFCourse,East Valley Home Health Center 1044,HH
2045,Closed Won,"$45,851.00",Learning,SNFCourse,North Point Assisted Living Center 1045,AL
2046,Prove,"$3,880.00","Learning, Assessments",SNFCourse,New Ridge SNF Center 1046,SNF
2047,Identify,"$38,474.00","Learning, Regulation Management",SNFCourse,North Valley Home Health Center 1047,HH
2048,Negotiate,"$27,935.00","Learning, Regulation Management",MedTeach,Pine Springs Home Health Center 1048,HH
2049,Engage,"$78,473.00","Learning, Regulation Management, Compliance, XM",CareEd,New Springs Assisted Living Center 1049,AL
2050,Identify,"$4,926.00","Learning, Regulation Management",SNFCourse,New Haven Home Care Center 1050,HC
2051,Engage,"$74,369.00","Learning, Policy Management",MedTeach,Pine Creek SNF Center 1051,SNF
2052,Engage,"$5,975.00",XM,CareEd,Lake Creek Assisted Living Center 1052,AL
2053,Prove,"$61,065.00",Learning,InsightsAct,Pine Grove Assisted Living Center 1053,AL
2054,Negotiate,"$41,191.00","Learning, XM",SNFCourse,Lake Creek Home Health Center 1054,HH
2055,Engage,"$74,192.00",XM,MedTeach,River Ridge Assisted Living Center 1055,AL
2056,Engage,"$39,296.00","Learning, XM",SNFCourse,Grand View SNF Center 1056,SNF
2057,Identify,"$71,722.00",Learning,CareEd,Lake Springs Home Care Center 1057,HC
2058,Identify,"$2,381.00","Learning, Regulation Management",CareEd,Pine Haven SNF Center 1058,SNF
2059,Engage,"$40,888.00","Learning, Assessments",MedTeach,River Springs Home Care Center 1059,HC
2060,Identify,"$67,921.00",Learning,InsightsAct,East Harbor Assisted Living Center 1060,AL
2061,Identify,"$80,434.00","Compliance, XM",MedTeach,Lake Heights Home Care Center 1061,HC
2062,Identify,"$13,047.00","Learning, Policy Management",InsightsAct,River Valley SNF Center 1062,SNF
2063,Engage,"$47,967.00","Compliance, XM",MedTeach,New Heights Home Care Center 1063,HC
2064,Prove,"$56,954.00","Learning, Assessments",SNFCourse,South View Assisted Living Center 1064,AL
2065,Engage,"$3,077.00",Learning,CareEd,Oak Point SNF Center 1065,SNF
2066,Prove,"$50,010.00","Compliance, XM",InsightsAct,Pine Grove Home Care Center 1066,HC
2067,Closed Won,"$26,100.00","Learning, Assessments",SNFCourse,South Heights Home Care Center 1067,HC
2068,Prove,"$47,575.00","Learning, Regulation Management, Compliance, XM",CareEd,Pine Heights Home Care Center 1068,HC
2069,Engage,"$47,264.00","Learning, Regulation Management",MedTeach,South Harbor Assisted Living Center 1069,AL
2070,Prove,"$18,319.00","Learning, Assessments",MedTeach,Oak Valley Home Care Center 1070,HC
2071,Negotiate,"$43,701.00",Learning,MedTeach,South Harbor Home Health Center 1071,HH
2072,Prove,"$46,662.00","Learning, XM",InsightsAct,River Ridge Home Care Center 1072,HC
2073,Closed Lost,"$50,974.00","Learning, Policy Management",SNFCourse,North Haven Assisted Living Center 1073,AL
2074,Identify,"$16,920.00","Compliance, XM",SNFCourse,Pine Harbor Home Health Center 1074,HH
2075,Negotiate,"$13,853.00","Learning, Regulation Management, Compliance, XM",MedTeach,New Harbor Assisted Living Center 1075,AL
2076,Identify,"$46,651.00",XM,SNFCourse,Pine Ridge Home Health Center 1076,HH
2077,Identify,"$10,314.00",XM,CareEd,New Ridge Home Care Center 1077,HC
2078,Closed Lost,"$43,163.00","Learning, Regulation Management",MedTeach,Oak Heights SNF Center 1078,SNF
2079,Negotiate,"$70,708.00","Compliance, XM",MedTeach,Grand Harbor SNF Center 1079,SNF
2080,Prove,"$7,171.00","Learning, Policy Management",CareEd,Grand View Home Health Center 1080,HH
2081,Engage,"$24,431.00","Learning, Regulation Management, Compliance, XM",InsightsAct,River Haven Assisted Living Center 1081,AL
2082,Closed Lost,"$30,237.00",Learning,InsightsAct,Grand Haven Home Care Center 1082,HC
2083,Prove,"$56,733.00",XM,InsightsAct,North Valley Assisted Living Center 1083,AL
2084,Engage,"$18,050.00","Learning, Regulation Management",InsightsAct,East Valley Home Care Center 1084,HC
2085,Identify,"$66,106.00","Learning, Policy Management",SNFCourse,Pine View Home Care Center 1085,HC
2086,Identify,"$15,958.00",Learning,SNFCourse,Grand Creek Home Care Center 1086,HC
2087,Identify,"$33,122.00","Learning, Regulation Management",SNFCourse,East View Home Health Center 1087,HH
2088,Identify,"$37,084.00",Policy Management,CareEd,Oak Springs Home Care Center 1088,HC
2089,Identify,"$65,981.00","Learning, Assessments",SNFCourse,North Harbor Home Health Center 1089,HH
2090,Identify,"$35,203.00","Learning, Assessments",CareEd,Pine Point Home Health Center 1090,HH
2091,Identify,"$21,595.00","Compliance, XM",SNFCourse,Oak Valley Home Health Center 1091,HH
2092,Closed Won,"$20,480.00","Learning, Policy Management",CareEd,River Valley SNF Center 1092,SNF
2093,Prove,"$13,986.00","Learning, Policy Management",MedTeach,North Heights Home Health Center 1093,HH
2094,Engage,"$11,537.00",Policy Management,MedTeach,River Creek SNF Center 1094,SNF
2095,Identify,"$1,877.00","Learning, XM",CareEd,Lake Springs Home Health Center 1095,HH
2096,Identify,"$71,546.00",Learning,MedTeach,New Harbor SNF Center 1096,SNF
2097,Closed Won,"$31,095.00","Learning, Policy Management",CareEd,East Harbor Home Care Center 1097,HC
2098,Engage,"$11,337.00","Learning, Regulation Management, Compliance, XM",InsightsAct,North Springs Home Health Center 1098,HH
2099,Identify,"$47,761.00","Compliance, XM",MedTeach,South Springs Assisted Living Center 1099,AL
2100,Prove,"$54,126.00",Learning,InsightsAct,New Ridge Home Health Center 1100,HH
2101,Prove,"$80,358.00",Policy Management,CareEd,East Point Assisted Living Center 1101,AL
2102,Negotiate,"$55,897.00","Learning, Assessments",CareEd,River Haven Home Health Center 1102,HH
2103,Prove,"$5,834.00",Policy Management,CareEd,East Harbor Home Health Center 1103,HH
2104,Closed Won,"$23,875.00",Learning,MedTeach,West Point Home Care Center 1104,HC
2105,Prove,"$65,841.00",XM,InsightsAct,New Valley Home Health Center 1105,HH
2106,Identify,"$58,643.00","Learning, XM",MedTeach,River Springs Home Care Center 1106,HC
2107,Negotiate,"$37,251.00",XM,CareEd,Grand Point Assisted Living Center 1107,AL
2108,Closed Won,"$57,784.00",XM,InsightsAct,New Point Home Care Center 1108,HC
2109,Negotiate,"$46,599.00","Compliance, XM",MedTeach,North Valley Home Health Center 1109,HH
2110,Closed Lost,"$75,687.00","Learning, Regulation Management",CareEd,Pine Springs Home Health Center 1110,HH
2111,Identify,"$64,248.00","Learning, XM",CareEd,New Harbor Home Health Center 1111,HH
2112,Engage,"$15,339.00",Learning,SNFCourse,West Creek Assisted Living Center 1112,AL
2113,Prove,"$57,620.00",XM,SNFCourse,Oak Ridge Assisted Living Center 1113,AL
2114,Identify,"$83,489.00","Learning, Policy Management",SNFCourse,South Creek SNF Center 1114,SNF
2115,Prove,"$64,564.00","Learning, Assessments",CareEd,West Springs Home Care Center 1115,HC
2116,Closed Won,"$8,486.00",XM,SNFCourse,Pine Valley SNF Center 1116,SNF
2117,Closed Lost,"$75,862.00","Learning, Policy Management",InsightsAct,South Valley Assisted Living Center 1117,AL
2118,Closed Won,"$62,413.00","Learning, XM",InsightsAct,Pine Haven Assisted Living Center 1118,AL
2119,Prove,"$48,396.00","Learning, XM",CareEd,New Point Assisted Living Center 1119,AL
2120,Prove,"$66,902.00","Learning, Policy Management",CareEd,Grand Heights Home Care Center 1120,HC
2121,Prove,"$26,965.00",Policy Management,SNFCourse,North View SNF Center 1121,SNF
2122,Identify,"$71,901.00","Learning, Regulation Management, Compliance, XM",SNFCourse,New Haven SNF Center 1122,SNF
2123,Identify,"$66,645.00",Learning,MedTeach,Pine View Home Care Center 1123,HC
2124,Prove,"$2,752.00",Policy Management,CareEd,East Creek Home Care Center 1124,HC
2125,Closed Won,"$37,028.00","Learning, Assessments",SNFCourse,New Valley SNF Center 1125,SNF
2126,Identify,"$46,916.00",Learning,InsightsAct,New Point SNF Center 1126,SNF
2127,Closed Lost,"$53,324.00","Learning, XM",MedTeach,North View Assisted Living Center 1127,AL
2128,Identify,"$49,930.00","Learning, Regulation Management",CareEd,Pine Ridge Home Health Center 1128,HH
2129,Negotiate,"$1,510.00","Compliance, XM",CareEd,Grand View Home Care Center 1129,HC
2130,Prove,"$61,147.00",XM,SNFCourse,Grand Point Assisted Living Center 1130,AL
2131,Identify,"$81,797.00","Compliance, XM",InsightsAct,New View Home Health Center 1131,HH
2132,Prove,"$54,257.00",Learning,SNFCourse,Oak Heights SNF Center 1132,SNF
2133,Engage,"$2,238.00",Learning,MedTeach,East Creek Home Health Center 1133,HH
2134,Prove,"$77,804.00",XM,InsightsAct,Grand Valley Assisted Living Center 1134,AL
2135,Closed Lost,"$83,771.00","Learning, Assessments",CareEd,South Point Home Health Center 1135,HH
2136,Engage,"$53,425.00","Learning, Assessments",SNFCourse,North Harbor SNF Center 1136,SNF
2137,Identify,"$78,843.00",Learning,MedTeach,Oak Springs Home Care Center 1137,HC
2138,Closed Won,"$13,585.00","Learning, Regulation Management",MedTeach,North Heights Home Care Center 1138,HC
2139,Engage,"$16,921.00",Learning,MedTeach,South Grove SNF Center 1139,SNF
2140,Negotiate,"$23,309.00","Learning, XM",SNFCourse,West Valley Assisted Living Center 1140,AL
2141,Identify,"$77,536.00","Compliance, XM",CareEd,North Point Assisted Living Center 1141,AL
2142,Prove,"$5,629.00",XM,InsightsAct,North Haven Assisted Living Center 1142,AL
2143,Closed Won,"$23,971.00",Policy Management,InsightsAct,River Harbor Home Health Center 1143,HH
2144,Prove,"$26,000.00","Compliance, XM",SNFCourse,South Point SNF Center 1144,SNF
2145,Identify,"$3,107.00","Learning, Assessments",CareEd,West View Assisted Living Center 1145,AL
2146,Closed Lost,"$64,923.00","Learning, XM",MedTeach,South Harbor Home Care Center 1146,HC
2147,Closed Won,"$5,594.00","Learning, XM",MedTeach,North Harbor Home Health Center 1147,HH
2148,Engage,"$31,667.00",Learning,SNFCourse,New Haven SNF Center 1148,SNF
2149,Identify,"$56,803.00",XM,InsightsAct,East Point Home Health Center 1149,HH
2150,Engage,"$50,284.00",Policy Management,MedTeach,South Harbor SNF Center 1150,SNF
2151,Identify,"$56,673.00","Learning, Policy Management",InsightsAct,River Valley Assisted Living Center 1151,AL
2152,Prove,"$46,453.00","Learning, Policy Management",MedTeach,Pine Springs Assisted Living Center 1152,AL
2153,Identify,"$75,837.00",Learning,CareEd,West Haven Home Care Center 1153,HC
2154,Prove,"$72,110.00","Learning, Assessments",SNFCourse,West Haven Home Care Center 1154,HC
2155,Identify,"$47,621.00","Learning, Regulation Management, Compliance, XM",CareEd,East Point SNF Center 1155,SNF
2156,Negotiate,"$4,342.00",XM,SNFCourse,Grand Ridge Home Health Center 1156,HH
2157,Identify,"$69,757.00",Policy Management,SNFCourse,Oak Valley Assisted Living Center 1157,AL
2158,Prove,"$14,612.00",XM,InsightsAct,West Springs Assisted Living Center 1158,AL
2159,Closed Lost,"$67,289.00",XM,MedTeach,River Point SNF Center 1159,SNF
2160,Identify,"$39,864.00","Compliance, XM",InsightsAct,Lake Springs SNF Center 1160,SNF
2161,Prove,"$44,606.00","Learning, Policy Management",InsightsAct,Pine Point Home Health Center 1161,HH
2162,Identify,"$46,744.00","Learning, Regulation Management, Compliance, XM",CareEd,East Haven SNF Center 1162,SNF
2163,Prove,"$33,820.00","Learning, Regulation Management",CareEd,West Point SNF Center 1163,SNF
2164,Identify,"$53,166.00",Policy Management,CareEd,West Heights Home Health Center 1164,HH
2165,Negotiate,"$32,950.00","Learning, Policy Management",MedTeach,West Valley SNF Center 1165,SNF
2166,Closed Won,"$60,478.00","Learning, Regulation Management",CareEd,Grand Grove Home Care Center 1166,HC
2167,Prove,"$54,785.00","Learning, XM",InsightsAct,Grand Haven Home Care Center 1167,HC
2168,Negotiate,"$4,353.00",Learning,SNFCourse,Grand Heights Home Care Center 1168,HC
2169,Engage,"$58,749.00","Learning, Assessments",CareEd,New Grove Assisted Living Center 1169,AL
2170,Prove,"$27,978.00",Learning,SNFCourse,North Springs SNF Center 1170,SNF
2171,Closed Won,"$42,928.00","Learning, Regulation Management",MedTeach,Grand Haven Home Care Center 1171,HC
